CN1721226	CAN总线	整车能量高
CN1562654	CCP协议	标定工具通用性差
CN1562654	CCP协议	控制器通讯可靠性差
CN1562654	CCP协议	通讯速度慢
CN1562654	CCP协议	性便利
CN101029707	CNG气瓶	成本高
CN101029707	CNG气瓶	具有重量轻
CN101029707	CNG气瓶	寿命高
CN101029707	CNG气瓶	寿命疲劳
CN101029707	CNG气瓶	特点高
CN101367040	CO性能	催化活性热
CN101367040	CO性能	催化剂表面温度高
CN101367040	CO性能	催化剂高
CN101367040	CO性能	催化剂热
CN101367040	CO性能	催化剂氧化高
CN101383416	CO性能	电池性能影响小
CN101367040	CO性能	发明操作工艺简便
CN101383416	CO性能	质子交换膜燃料电池高
CN101207331	DC控制方法	电能高
CN1167464	安全机构	弹簧荷重后轮少
CN1167464	安全机构	结构容易
CN1167464	安全机构	线软
CN1167464	安全机构	支撑主
CN1167464	安全机构	制动性能高
CN1261728	安全装置	电池异常
CN1261728	安全装置	动作异常
CN201178875	安全座椅	结构合理
CN1305202	按钮开关	端子保持弯曲
CN201117510	按钮开关	可靠性好
CN1177373	螯合剂	如织物柔软
CN201169329	把手雨披	口凹
CN201169329	把手雨披	生产成本低
CN201169329	把手雨披	影响行驶安全
CN201169329	把手雨披	雨披结构简单
CN1230588	白酒生产方法	风味质量佳
CN1230588	白酒生产方法	玉米生产酒纯
CN1431124	摆渡车	具有结构简单
CN1431124	摆渡车	优点安全
CN1790034	板	发明装置结构简单
CN1790034	板	移动方便
CN201099312	板车护架	是制造容易
CN1851966	板流场	质石墨双极板加工成本硬
CN1216452	板条	夹持板可靠
CN1139819	半导体器件	半导体器件高
CN1383167	半导体器件	电容器模块高
CN1133489	半导体器件	硅膜晶
CN1383167	半导体器件	可靠性高
CN1139819	半导体器件	可靠性高
CN1139819	半导体器件	可靠性小
CN1326610	饱和	功率放大器效率高
CN1754711	保持装置	电动好
CN200973066	保护板	保护可靠
CN1641953	保护电路	成本低廉
CN1641953	保护电路	发明结构简单
CN1736747	保护结构	支架合理
CN1571231	保护器	工作正常
CN201118214	保护器	价格低廉
CN201188595	保护系统	成本低
CN201188595	保护系统	结构简单
CN2757399	保护装置	保护装置电路简单
CN201190772	保护装置	保护装置结构安全
CN201190772	保护装置	保护装置结构简单
CN2405363	保护装置	成本低
CN201190772	保护装置	成本低
CN201065976	保护装置	具有结构简单
CN2757399	保护装置	性能稳定可靠
